date,cases
2019-11-22,0
2019-11-23,0
2019-11-24,0
2019-11-25,0
2019-11-26,0
2019-11-27,0
2019-11-28,1
2019-11-29,1
2019-11-30,2
2019-12-01,2
2019-12-02,5
2019-12-03,7
2019-12-04,11
2019-12-05,12
2019-12-06,20
2019-12-07,30
2019-12-08,38
2019-12-09,56
2019-12-10,78
2019-12-11,94
2019-12-12,114
2019-12-13,145
2019-12-14,162
2019-12-15,190
2019-12-16,232
2019-12-17,270
2019-12-18,328
2019-12-19,385
2019-12-20,476
2019-12-21,575
2019-12-22,644
2019-12-23,702
2019-12-24,780
2019-12-25,840
2019-12-26,920
2019-12-27,935
2019-12-28,1030
2019-12-29,1116
2019-12-30,1266
2019-12-31,1452
2020-01-01,1619
2020-01-02,1865
2020-01-03,2097
2020-01-04,2416
2020-01-05,2552
2020-01-06,2730
2020-01-07,2955
2020-01-08,3232
2020-01-09,3596
2020-01-10,4226
2020-01-11,4914
2020-01-12,5570
2020-01-13,6461
2020-01-14,7376
2020-01-15,8656
2020-01-16,10045
2020-01-17,11450
2020-01-18,13107
2020-01-19,15016
2020-01-20,17411
2020-01-21,19894
2020-01-22,21766
2020-01-23,23878
2020-01-24,26298
2020-01-25,27574
2020-01-26,30974
2020-01-27,33780
2020-01-28,37742
2020-01-29,37662
2020-01-30,41183
2020-01-31,42657
2020-02-01,48346
2020-02-02,50347
2020-02-03,50473
2020-02-04,51154
2020-02-05,51233
2020-02-06,56732
2020-02-07,62560
2020-02-08,65738
2020-02-09,68570
2020-02-10,77398
2020-02-11,71575
